id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31025,No more insomnia,498.522,20.0,159.99,119.99,positive strong,1170,17.0,,18:02:02,1,2128
31000,Easy to stop using,1238.89,214.212,159.99,119.99,positive,1170,15.0,,18:00:37,1,2128
30922,Moral or ethical concerns,497.544,325.762,159.99,119.99,ambivalent,1170,14.0,,17:55:35,1,2128
30859,Better scheduling,226.433,21.0,159.99,119.99,positive weak,1170,13.0,,17:51:53,1,2128
30822,Societal Pressure,342.77,471.206,159.99,119.99,neutral,1170,12.0,,17:49:52,1,2128
30802,Bio-degradable,965.556,106.768,159.99,119.99,positive weak,1170,11.0,,17:48:54,1,2128
30776,Hackable,705.649,513.996,159.99,119.99,negative strong,1170,10.0,,17:47:37,1,2128
30761,Discrimination,68.1012,506.984,159.99,119.99,negative,1170,9.0,,17:46:45,1,2128
30755,Employer Pressure,30.7679,137.321,159.99,119.99,negative weak,1170,8.0,,17:46:34,1,2128
30742,Unknown psychological effects,248.196,224.2,159.99,119.99,negative,1170,7.0,,,1,2128
30735,Drug-free,1071.4,311.927,159.99,119.99,positive weak,1170,6.0,,,1,2128
30724,Self-repairing,757.972,31.9742,159.99,119.99,positive strong,1170,5.0,,,1,2128
30710,Controlled sleep,498.208,166.99,159.99,119.99,neutral,1170,4.0,,17:51:56,1,2128
30702,Low maintenance,1227.87,21.0,159.99,119.99,positive strong,1170,3.0,,17:43:40,1,2128
30694,Controllable by phone,958.996,474.31,159.99,119.99,positive,1170,2.0,,17:43:12,1,2128
30673,technological implant,757.996,255.994,159.99,119.99,neutral,1170,1.0, ,,1,2128
