id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
16788,zukunftsangst,633.0,544.0,160.0,120.0,ambivalent,369,13.0,,16:03:28,1,610
16758,entschläunigung des alltags,449.0,34.0,160.0,120.0,positive,369,12.0,,,1,610
16647,psychische Belastung,689.0,260.969,160.0,120.0,negative,369,5.0,,15:57:24,0,610
16646,Stress,689.0,107.0,160.0,120.0,negative,369,6.0,,15:57:21,0,610
16645,Einsamkeit,20.0,397.984,160.0,120.0,neutral,369,10.0, ,,0,610
16644,Angst,689.0,409.0,160.0,120.0,negative,369,7.0,,15:57:28,0,610
16643,Corona-Pandemie,510.99,258.99,160.0,120.0,neutral,369,1.0, ,,0,610
16642,Zusammenhalt,280.0,349.0,160.0,120.0,positive strong,369,8.0,,15:57:49,0,610
16641,physische Isolierung,278.0,213.984,160.0,120.0,positive weak,369,2.0," ich denke die isolierung hilft vor allem die pandemie unter kontrolle zu bekommen, pvrsönlich sehe ich es nicht sehr negativ. ",16:07:02,0,610
16640,soziale Isolierung,281.0,74.9844,160.0,120.0,positive,369,3.0,,15:57:40,0,610
16639,Depressivität,20.0,271.969,160.0,120.0,neutral,369,9.0, ,,0,610
16638,Befinden,20.0,148.984,160.0,120.0,neutral,369,4.0, ,,0,610
16637,wirtschaftliche Folgen,510.969,441.969,160.0,120.0,ambivalent,369,11.0, ich denke die wirtschaftlichen auswirkungen sind uns noch nicht bewusst und es wird eine schwierige zeit. jedoch kann das auch gutes mit sich bringen und viel innovation. ,16:06:02,0,610
