id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
15459,Spätfolgen,133.0,20.0,160.0,120.0,negative strong,393,15.0,,15:01:34,1,567
15457,Covid-19,325.0,181.0,160.0,120.0,negative strong,393,14.0,,15:01:20,1,567
15453,Maskenverweigerer,21.0,466.0,160.0,120.0,negative strong,393,13.0,,15:01:07,1,567
15452,Rücksichtslosigkeit,27.0,328.0,160.0,120.0,negative strong,393,12.0,,15:00:47,1,567
15384,psychische Belastung,887.983,265.983,160.0,120.0,negative weak,393,5.0,,15:00:06,0,567
15383,Stress,875.983,87.0,160.0,120.0,negative,393,6.0,,14:59:32,0,567
15382,Einsamkeit,324.0,20.0,160.0,120.0,negative strong,393,10.0,,14:59:34,0,567
15381,Angst,693.0,167.0,160.0,120.0,negative strong,393,7.0,,15:08:12,0,567
15380,Corona-Pandemie,510.983,258.983,160.0,120.0,negative strong,393,1.0,,14:59:45,0,567
15379,Gesellschaft,24.0,176.0,160.0,120.0,ambivalent,393,8.0,,15:08:10,0,567
15378,physische Isolierung,585.0,454.983,160.0,120.0,negative,393,2.0,,14:59:42,0,567
15377,soziale Isolierung,756.0,494.0,160.0,120.0,negative weak,393,3.0,,14:59:36,0,567
15376,Depressivität,649.983,21.0,160.0,120.0,negative strong,393,9.0,,14:59:27,0,567
15375,Befinden,754.983,356.983,160.0,120.0,negative weak,393,4.0,,14:59:50,0,567
15374,wirtschaftliche Folgen,273.967,469.967,160.0,120.0,negative strong,393,11.0,,14:59:48,0,567
