id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
27288,Anbindung,633.0,543.0,160.0,120.0,negative weak,927,21.0,,13:27:46,1,1753
27287,Werkstatt,369.0,9.0,160.0,120.0,neutral,927,20.0,,,1,1753
27286,Versicherung,295.0,108.0,160.0,120.0,neutral,927,19.0,,,1,1753
27285,Sprit,195.0,20.0,160.0,120.0,neutral,927,18.0,,,1,1753
27284,Öffentliche Verkehrsmittel,573.0,346.0,160.0,120.0,neutral,927,2.0, ,,1,1753
27283,Eigener Pkw,272.0,346.0,160.0,120.0,neutral,927,1.0, ,,1,1753
27282,Bequem,193.0,234.0,160.0,120.0,positive,927,3.0,,,1,1753
27281,Stau,20.0,241.0,160.0,120.0,negative,927,4.0,,,1,1753
27280,Unabhängig,54.0,450.0,160.0,120.0,positive,927,5.0,,,1,1753
27279,Umwelt,771.0,171.0,160.0,120.0,positive,927,6.0,,,1,1753
27278,Umwelt,279.0,465.0,160.0,120.0,negative,927,7.0,,13:05:23,1,1753
27277,Kosten,106.0,125.0,160.0,120.0,negative,927,8.0,,,1,1753
27276,Zeit,20.0,20.0,160.0,120.0,ambivalent,927,9.0,,,1,1753
27275,Unpünktlich,598.0,151.0,160.0,120.0,negative strong,927,10.0,,,1,1753
27274,Überfüllt,805.0,339.0,160.0,120.0,negative strong,927,11.0,,13:08:36,1,1753
27273,Nutzung der Fahrzeit,683.0,475.0,160.0,120.0,positive,927,12.0,,13:09:01,1,1753
27272,Kosten,524.0,68.0,160.0,120.0,negative weak,927,13.0,,13:09:23,1,1753
27271,Stress,726.0,28.0,160.0,120.0,negative,927,14.0,,,1,1753
27270,Stress,22.0,359.0,160.0,120.0,negative,927,15.0,,13:09:55,1,1753
27269,Wartezeiten,505.0,500.0,160.0,120.0,negative,927,16.0,,13:10:21,1,1753
27268,Fahrgemeinschaft,388.0,226.0,160.0,120.0,positive weak,927,17.0,,13:10:43,1,1753
