id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
25323,Versicherungskosten,364.0,21.0,160.0,120.0,negative weak,845,17.0,,,1,1624
25321,Reparaturkosten,184.0,20.0,160.0,120.0,negative weak,845,16.0,,13:20:48,1,1624
25319,Benzinkosten,20.0,20.0,160.0,120.0,negative,845,15.0,,13:20:50,1,1624
25294,Verglichen mit PKW Kosten --> niedriger!,484.0,460.0,160.0,120.0,positive weak,845,13.0,,13:18:34,1,1624
25282,Ticketpreise,693.0,454.0,160.0,120.0,ambivalent,845,12.0,,13:17:49,1,1624
25273,Menschenmassen,643.0,44.0,160.0,120.0,negative weak,845,7.0,,13:17:25,1,1624
25270,Kosten,36.0,165.0,160.0,120.0,negative strong,845,6.0,,13:20:52,1,1624
25268,Zeitersparnis,44.0,375.0,160.0,120.0,positive weak,845,5.0,,13:17:47,1,1624
25267,Schlechter für die Umwelt,242.0,196.0,160.0,120.0,negative,845,4.0,,13:16:02,1,1624
25266,Umweltfreundlicher,573.0,196.0,160.0,120.0,positive,845,3.0,,13:09:54,1,1624
25261,Eigener Pkw,273.0,347.0,160.0,120.0,neutral,845,1.0, ,,1,1624
25260,Öffentliche Verkehrsmittel,575.0,346.0,160.0,120.0,neutral,845,2.0, ,,1,1624
