id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
4681,4781,5109,Solid,134,0,none,18:52:01,226
4666,5321,5480,Solid,134,0,none,18:51:32,226
4606,5321,5406,Solid,134,0,none,18:49:08,226
4599,5406,4561,Solid,134,0,uni,18:49:02,226
4538,5156,5321,Solid,134,0,none,18:47:07,226
4531,5321,4561,Solid,134,0,uni,18:46:54,226
4454,5156,4601,Solid,134,0,uni,18:45:20,226
4268,5109,4561,Solid,134,0,uni,18:41:34,226
3669,4601,4561,Solid,134,0,uni,18:39:41,226
4172,4781,4561,Solid,134,0,uni,18:39:36,226
4078,4814,4781,Solid,134,0,uni,18:37:34,226
4053,4881,4781,Solid,134,0,uni,18:37:08,226
4044,4891,4781,Solid,134,0,uni,18:37:01,226
4033,4912,4781,Solid,134,0,uni,18:36:51,226
