id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
5359,increased happiness,519.737,588.997,160.0,120.0,positive strong,142,23.0,,,1,235
5344,more time spent with family,279.49,575.734,160.0,120.0,positive weak,142,22.0,,18:47:46,1,235
5323,Decrease in interpersonal and communication skills,1193.5,358.995,160.0,120.0,negative weak,142,20.0,,,1,235
5298,More time spent on social media,1113.24,189.49,160.0,120.0,positive,142,19.0,,,1,235
5239,Increased technological skills,960.729,338.477,160.0,120.0,ambivalent,142,18.0,,18:44:17,1,235
5007,lower usage of antidepressants etc,830.428,456.528,160.0,120.0,positive strong,142,10.0,,18:43:42,1,235
5204,Increased techonolgy infrastructure,797.648,210.862,160.0,120.0,positive weak,142,17.0,,18:43:34,1,235
5140,Increased use of online platforms,588.43,323.076,160.0,120.0,ambivalent,142,15.0,,18:42:28,1,235
5064,Lower social gatherings,653.201,50.5324,160.0,120.0,negative weak,142,12.0,,,1,235
5101,"Anxiety, etc",1001.99,56.8773,160.0,120.0,negative strong,142,14.0,,,1,235
5085,Increased isolation,825.198,53.9844,160.0,120.0,negative,142,13.0,,,1,235
5040,Increased anxiety,36.9838,72.4213,160.0,120.0,negative strong,142,11.0,,18:40:02,1,235
4934,COVID-19,518.741,182.525,160.0,120.0,neutral,142,9.0,,,1,235
4829,Increased time for personal development,165.979,466.988,160.0,120.0,positive weak,142,8.0,,18:34:54,1,235
4774,less stress,630.982,456.991,160.0,120.0,positive weak,142,7.0,,,1,235
4763,more relaxed,431.979,478.99,160.0,120.0,positive weak,142,6.0,,,1,235
4753,More time on hands,355.972,313.961,160.0,120.0,ambivalent,142,5.0,,18:42:40,1,235
4733,Lesser sources of income,38.9931,330.991,160.0,120.0,negative strong,142,4.0,,,1,235
4714,Bad Economy,353.995,40.9815,160.0,120.0,negative strong,142,3.0,,18:32:30,1,235
4671,Less Jobs,200.991,194.998,160.0,120.0,negative strong,142,1.0,,18:31:57,1,235
