id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
12127,12386,12596,Solid,257,0,none,12:08:03,409
12119,12596,12184,Solid,257,0,uni,12:06:29,409
12101,12555,12386,Solid-Weak,257,0,none,12:04:33,409
12100,12555,12226,Solid-Weak,257,0,none,12:04:27,409
11732,12226,12184,Solid,257,0,uni,12:04:16,409
12087,12226,12555,Solid-Strong,257,0,uni,12:02:25,409
12082,12386,12555,Solid,257,0,none,12:02:18,409
12080,12351,12555,Solid-Weak,257,0,none,12:02:11,409
12055,12413,12436,Solid,257,0,none,11:59:57,409
12054,12195,12436,Solid,257,0,none,11:59:43,409
11973,12184,12432,Solid,257,0,none,11:51:38,409
11964,12184,12413,Solid-Weak,257,0,none,11:50:31,409
11907,12351,12386,Solid,257,0,none,11:47:57,409
11903,12184,12386,Solid,257,0,none,11:47:49,409
11878,12282,12351,Solid,257,0,uni,11:46:19,409
11846,12184,12313,Solid-Weak,257,0,none,11:43:52,409
11799,12184,12282,Solid-Weak,257,0,uni,11:42:11,409
11779,12184,12256,Solid-Strong,257,0,none,11:41:17,409
11710,12184,12195,Solid-Weak,257,0,uni,11:36:49,409
