id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
12501,missing family events,420.0,258.0,160.0,120.0,negative strong,261,12.0,,,1,412
12481,becoming used to this way of life,2078.0,1026.0,160.0,120.0,negative,261,11.0,,,1,412
12461,government help available,792.0,578.0,160.0,120.0,positive strong,261,10.0,,,1,412
12453,easier to get lonely,1164.0,796.0,160.0,120.0,negative weak,261,9.0,,,1,412
12412,less responsibility,1578.0,872.0,106.0,79.0,neutral,261,8.0,,,1,412
12401,fear of getting sick,390.0,558.0,160.0,120.0,negative strong,261,7.0,"while the local cases are not high, every time going somewhere be it essential or non essential is a risk",11:51:40,1,412
12382,need money to complete chores around house,976.0,708.0,160.0,120.0,neutral,261,6.0,,,1,412
12336,coronavirus outbreak,904.0,36.0,285.0,213.25,negative weak,261,5.0,,,1,412
12298,time to complete chores around house,1252.86,487.143,160.0,120.0,neutral,261,4.0,,,1,412
12285,loss of income,652.857,314.286,160.0,120.0,negative strong,261,3.0,,,1,412
12260,easier to get bored,1615.71,400.0,160.0,120.0,positive,261,2.0,,,1,412
12246,more time at home,1398.0,222.0,202.0,151.0,positive,261,1.0,Nice to have lots of free time but...,11:40:08,1,412
