id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
5689,6029,6192,Solid,204,0,none,19:32:49,317
5671,6054,6185,Solid-Strong,204,0,uni,19:32:06,317
5664,6062,6185,Solid-Strong,204,0,none,19:31:56,317
5660,6022,6192,Dashed,204,0,uni,19:31:40,317
5657,6032,6192,Solid-Weak,204,0,none,19:31:34,317
5652,6200,6049,Solid-Strong,204,0,uni,19:31:25,317
5647,6062,6200,Solid,204,0,none,19:31:07,317
5617,6062,6049,Solid-Strong,204,0,uni,19:29:55,317
5606,6014,6036,Solid-Weak,204,0,none,19:29:39,317
5603,6014,6036,Solid,204,0,none,19:28:42,317
5595,6036,6054,Solid,204,0,none,19:29:46,317
5586,6029,6014,Dashed-Strong,204,0,uni,19:28:04,317
5583,6014,6062,Solid-Weak,204,0,none,19:27:52,317
5573,6054,6062,Dashed-Weak,204,0,none,19:27:45,317
5562,6029,6061,Solid-Strong,204,0,uni,19:27:25,317
5554,6014,6061,Dashed,204,0,none,19:27:11,317
5544,6014,6025,Solid-Strong,204,0,uni,19:26:45,317
5539,6025,6032,Solid-Strong,204,0,uni,19:26:31,317
5534,6022,6032,Solid-Strong,204,0,uni,19:26:08,317
5512,6022,6014,Solid-Weak,204,0,uni,19:25:49,317
