id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
5585,abstand halten,477.177,21.0,160.0,120.0,ambivalent,151,24.0,,18:55:45,1,244
5556,verschwörungstheorien,831.389,401.868,160.0,120.0,negative strong,151,23.0,,,1,244
5435,Pflegekräfte bekommen mehr aufmerksamkeit in der politik,1151.31,465.302,160.0,120.0,positive,151,21.0,,18:50:24,1,244
5382,Wissenschaft steht mehr im mittelpunkt,1131.52,351.063,160.0,120.0,positive strong,151,19.0,,18:49:09,1,244
5149,Home-schooling,959.976,521.948,160.0,120.0,ambivalent,151,17.0,,18:45:15,1,244
5044,Christian Drosten,979.972,278.955,160.0,120.0,neutral,151,14.0,,18:40:14,1,244
5141,wirtschaftskrise,1203.0,183.0,160.0,120.0,negative,151,16.0,,18:46:24,1,244
4986,Freude an der Entschleunigung,162.983,282.979,160.0,120.0,positive weak,151,8.0,,18:46:44,1,244
5137,existenzen sind bedroht,1208.0,50.0,160.0,120.0,negative strong,151,15.0,,18:46:21,1,244
5013,kreativ entfalten,485.965,284.951,160.0,120.0,positive strong,151,11.0,,18:46:36,1,244
5033,Hamsterkäufe (Klopapier),931.0,166.0,160.0,120.0,neutral,151,13.0,,18:40:00,1,244
5022,Zusammenheits-Gefühl,114.976,483.986,160.0,120.0,positive,151,12.0,,18:46:34,1,244
5009,Mund-Nasen-Schutz,335.965,486.962,160.0,120.0,ambivalent,151,10.0,,18:46:31,1,244
4999,mehr Kontakt zur Familie,20.0,189.997,160.0,120.0,positive weak,151,9.0,,18:46:46,1,244
4944,Verunsicherung,691.979,542.979,160.0,120.0,negative strong,151,6.0,,18:45:04,1,244
4888,weniger Kontakt mit anderen Menschen,217.0,70.0,160.0,120.0,ambivalent,151,5.0,,18:46:50,1,244
4875,mehr home-office,320.969,205.979,160.0,120.0,positive,151,4.0,,18:46:40,1,244
4839,arbeitsverhältnisse verändern sich,750.99,18.0,160.0,120.0,ambivalent,151,3.0,,18:45:43,1,244
4803,viele menschen sterben,476.0,513.983,160.0,120.0,negative strong,151,2.0,,18:34:08,1,244
4777,Corona-Virus,684.997,223.997,160.0,120.0,neutral,151,1.0,,18:33:44,1,244
