id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
12570,13046,12975,Solid-Weak,306,0,uni,12:35:48,462
12565,13022,13020,Solid-Weak,306,0,uni,12:35:16,462
12563,13022,13018,Solid-Weak,306,0,uni,12:35:08,462
12561,13020,13018,Solid-Weak,306,0,uni,12:35:02,462
12553,13018,12972,Solid-Weak,306,0,uni,12:34:24,462
12550,13018,13009,Solid-Weak,306,0,uni,12:34:16,462
12543,13009,12972,Solid-Weak,306,0,uni,12:34:05,462
12521,12972,12949,Solid-Weak,306,0,uni,12:32:19,462
12513,12982,12972,Solid-Weak,306,0,uni,12:32:00,462
12510,12982,12975,Solid-Weak,306,0,uni,12:31:54,462
12509,12975,12972,Solid-Weak,306,0,uni,12:31:36,462
12506,12972,12927,Solid-Weak,306,0,uni,12:31:29,462
12501,12927,12972,Solid-Weak,306,0,none,12:31:21,462
12463,12951,12949,Solid-Weak,306,0,uni,12:29:54,462
12454,12949,12942,Solid-Weak,306,0,uni,12:29:44,462
12430,12942,12927,Solid-Weak,306,0,uni,12:28:36,462
