id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
12512,Pläne fürs Jahr,778.571,604.286,160.0,120.0,positive weak,252,13.0,,,1,404
12491,Stillstand,2210.0,299.0,160.0,120.0,ambivalent,252,12.0,Das gesamte Leben mit seinen Plänen und Zielen scheint mit der Pandemie auf einmal unterbrochen.,11:56:36,1,404
12479,Nur eingeschärnkt arbeiten können,264.286,574.286,160.0,120.0,negative,252,11.0,,,1,404
12467,Sich aufs Wesentliche konzentrieren,378.571,215.714,160.0,120.0,positive,252,10.0,,,1,404
12418,Sich um Familienmitglieder kümmern,1473.75,645.0,160.0,120.0,positive strong,252,9.0,"Für Familienangehörige, die einer Risikogruppe angehören einkaufen zu gehen, Kontaktbeschränkungen erklären, etc.",11:51:09,1,404
12362,Langeweile,2001.25,66.5,160.0,120.0,negative strong,252,8.0,"Wenn man im Alltag eingeschränkt ist und man recht wenig tun kann, fließen die Wochentage regelrecht ineinander.",11:48:20,1,404
12326,Sich allein fühlen,1764.44,156.667,160.0,120.0,positive,252,7.0,,,1,404
12291,Sich über Fallzahlen informieren,1703.44,320.0,160.0,120.0,ambivalent,252,6.0,"Nachrichten schauen, sich auf den Websites der Bundesländer informieren, etc.",11:48:55,1,404
12239,Hygieneregeln,732.222,295.556,160.0,120.0,positive,252,5.0,,,1,404
12218,Kontakt-beschränkungen,1432.99,111.993,160.0,120.0,negative strong,252,4.0,,11:37:00,1,404
12183,Angst Familienmitglieder anzustecken,1022.0,467.0,160.0,120.0,negative strong,252,3.0,,,1,404
12176,Angst selbst zu erkranken,1303.0,327.0,160.0,120.0,negative strong,252,2.0,,11:34:25,1,404
12155,Coronavirus-Pandemie,880.0,67.0,160.0,120.0,neutral,252,1.0,,11:33:09,1,404
