"id","starting_block","ending_block","line_style","creator","num","arrow_type","timestamp","CAM"
22856,23811,23851,"Dashed",783,0,"none","11:19:37",1529
22855,23856,23875,"Dashed",783,0,"none","11:19:26",1529
22854,23811,23856,"Solid-Weak",783,0,"none","11:18:45",1529
22851,23822,23874,"Solid-Strong",783,0,"none","11:18:44",1529
22846,23851,23874,"Dashed-Strong",783,0,"none","11:18:22",1529
22841,23830,23851,"Dashed-Weak",783,0,"none","11:17:39",1529
22840,23811,23854,"Solid",783,0,"none","11:17:25",1529
22839,23810,23833,"Solid",783,0,"none","11:17:04",1529
22838,23810,23836,"Solid-Weak",783,0,"none","11:16:57",1529
22837,23833,23845,"Solid-Strong",783,0,"none","11:16:42",1529
22835,23833,23843,"Solid-Strong",783,0,"none","11:16:37",1529
22827,23833,23845,"Dashed-Strong",783,0,"none","11:15:57",1529
22825,23846,23810,"Solid-Strong",783,0,"none","11:15:38",1529
22824,23830,23810,"Solid-Weak",783,0,"uni","11:14:31",1529
22823,23810,23830,"Solid-Strong",783,0,"none","11:14:47",1529
22797,23810,23811,"Dashed",783,0,"none","11:40:19",1529
